groupName,groupID,subgroupID,year,log_scale_indicator,log_scale_indicator_sd,log_scale_indicator_lci,log_scale_indicator_uci,percent_diff,percent_diff_lci,percent_diff_uci
Waterfowl: All,33,0,1970,0,0,0,0,0,0,0
Waterfowl: All,33,0,1971,-9.199e-5,0.004018,-0.008049,0.008123,-0.009198,-0.8017,0.8156
Waterfowl: All,33,0,1972,8.243e-6,0.005589,-0.01134,0.01138,8.243e-4,-1.128,1.144
Waterfowl: All,33,0,1973,3.219e-4,0.006994,-0.01385,0.01425,0.0322,-1.375,1.435
Waterfowl: All,33,0,1974,6.254e-4,0.008574,-0.01642,0.01754,0.06256,-1.629,1.769
Waterfowl: All,33,0,1975,0.001043,0.01175,-0.02306,0.02462,0.1044,-2.28,2.493
Waterfowl: All,33,0,1976,0.001559,0.01976,-0.03871,0.04123,0.1561,-3.797,4.209
Waterfowl: All,33,0,1977,0.004153,0.03073,-0.057,0.06536,0.4161,-5.541,6.755
Waterfowl: All,33,0,1978,0.007841,0.04168,-0.07582,0.08992,0.7872,-7.302,9.408
Waterfowl: All,33,0,1979,0.01213,0.05253,-0.09142,0.1146,1.22,-8.737,12.14
Waterfowl: All,33,0,1980,0.01606,0.06241,-0.1068,0.1392,1.619,-10.13,14.94
Waterfowl: All,33,0,1981,0.02064,0.07212,-0.1181,0.1641,2.085,-11.14,17.83
Waterfowl: All,33,0,1982,0.02552,0.08079,-0.1332,0.1836,2.585,-12.47,20.16
Waterfowl: All,33,0,1983,0.03137,0.08844,-0.1422,0.2062,3.186,-13.26,22.91
Waterfowl: All,33,0,1984,0.03843,0.09494,-0.1486,0.2247,3.918,-13.81,25.19
Waterfowl: All,33,0,1985,0.04584,0.1012,-0.1529,0.244,4.691,-14.18,27.64
Waterfowl: All,33,0,1986,0.05431,0.1069,-0.1552,0.2627,5.582,-14.37,30.05
Waterfowl: All,33,0,1987,0.06415,0.1118,-0.1563,0.284,6.625,-14.47,32.85
Waterfowl: All,33,0,1988,0.07515,0.1166,-0.1579,0.303,7.805,-14.61,35.39
Waterfowl: All,33,0,1989,0.08723,0.1202,-0.1513,0.3228,9.115,-14.04,38.1
Waterfowl: All,33,0,1990,0.09954,0.1234,-0.1464,0.3381,10.47,-13.62,40.23
Waterfowl: All,33,0,1991,0.1126,0.1261,-0.1367,0.3589,11.91,-12.77,43.18
Waterfowl: All,33,0,1992,0.1256,0.129,-0.1296,0.3773,13.39,-12.16,45.83
Waterfowl: All,33,0,1993,0.1387,0.1316,-0.1218,0.3957,14.88,-11.46,48.55
Waterfowl: All,33,0,1994,0.1514,0.1344,-0.1127,0.4132,16.35,-10.66,51.16
Waterfowl: All,33,0,1995,0.1639,0.1367,-0.1046,0.4304,17.81,-9.934,53.79
Waterfowl: All,33,0,1996,0.1755,0.1392,-0.09943,0.4467,19.19,-9.465,56.32
Waterfowl: All,33,0,1997,0.1859,0.1411,-0.09473,0.4595,20.43,-9.039,58.32
Waterfowl: All,33,0,1998,0.1951,0.1432,-0.08765,0.4741,21.54,-8.391,60.66
Waterfowl: All,33,0,1999,0.203,0.1451,-0.08432,0.4855,22.51,-8.086,62.49
Waterfowl: All,33,0,2000,0.2104,0.1474,-0.0794,0.5012,23.42,-7.633,65.08
Waterfowl: All,33,0,2001,0.2179,0.1496,-0.07715,0.5088,24.35,-7.425,66.33
Waterfowl: All,33,0,2002,0.2264,0.1517,-0.07454,0.5245,25.41,-7.183,68.97
Waterfowl: All,33,0,2003,0.2357,0.1539,-0.06754,0.5367,26.57,-6.531,71.03
Waterfowl: All,33,0,2004,0.2465,0.1558,-0.06066,0.5518,27.96,-5.885,73.64
Waterfowl: All,33,0,2005,0.2585,0.1577,-0.05261,0.5667,29.5,-5.125,76.24
Waterfowl: All,33,0,2006,0.2718,0.1601,-0.03975,0.5846,31.24,-3.897,79.43
Waterfowl: All,33,0,2007,0.2859,0.1622,-0.02909,0.6018,33.1,-2.867,82.53
Waterfowl: All,33,0,2008,0.3005,0.1644,-0.02102,0.622,35.05,-2.08,86.27
Waterfowl: All,33,0,2009,0.3151,0.1662,-0.01053,0.6451,37.04,-1.047,90.62
Waterfowl: All,33,0,2010,0.3298,0.1684,0.001452,0.6622,39.07,0.1453,93.91
Waterfowl: All,33,0,2011,0.3441,0.17,0.0131,0.6818,41.07,1.318,97.74
Waterfowl: All,33,0,2012,0.357,0.1715,0.02145,0.6946,42.91,2.168,100.3
Waterfowl: All,33,0,2013,0.3688,0.1728,0.02883,0.7086,44.59,2.925,103.1
Waterfowl: All,33,0,2014,0.3781,0.1745,0.03743,0.7195,45.95,3.814,105.3
Waterfowl: All,33,0,2015,0.3851,0.1756,0.04223,0.7291,46.98,4.313,107.3
Waterfowl: All,33,0,2016,0.3895,0.1766,0.04387,0.7362,47.63,4.485,108.8
Waterfowl: All,33,0,2017,0.3916,0.1773,0.04733,0.7409,47.93,4.846,109.8
Waterfowl: All,33,0,2018,0.3919,0.1777,0.04681,0.7424,47.98,4.792,110.1
Waterfowl: All,33,0,2019,0.3917,0.1778,0.04581,0.741,47.95,4.688,109.8
Waterfowl: All,33,0,2020,0.3912,0.1779,0.04582,0.7409,47.87,4.689,109.8
Waterfowl: All,33,0,2021,0.3902,0.178,0.04413,0.7401,47.73,4.511,109.6
Waterfowl: All,33,0,2022,0.3806,0.1783,0.03474,0.728,46.32,3.535,107.1
Waterfowl: Ducks,33,3,1970,0,0,0,0,0,0,0
Waterfowl: Ducks,33,3,1971,5.582e-4,0.003991,-0.007377,0.008913,0.05584,-0.735,0.8952
Waterfowl: Ducks,33,3,1972,0.001249,0.005645,-0.01023,0.01279,0.125,-1.017,1.287
